LiaoB,,,,,,,,,
,,,,,,,,,
mechdef_vulcan_VL-2T,23,,22,,5,,8,,0
mechdef_cicada_CDA-2A,23,,22,,23,,42,,21
mechdef_clint_CLNT-1-2R,5,,4,,5,,0,,0
mechdef_clint_CLNT-2-3T,8,,8,,8,,0,,0
mechdef_cicada_CDA-3C,2,,2,,2,,0,,0
mechdef_vulcan_VL-5M,0,,0,,0,3050-01-01T00:00:00Z,55,,55
mechdef_cicada_CDA-3M,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_hermesII_HER-5S,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_vulcan_VL-5T,5,,4,,5,,4,,0
mechdef_centurion_CN9-A,8,,4,,5,,4,,0
mechdef_blackjack_BJ-1,36,,36,,37,,0,,0
mechdef_vindicator_VND-1AA,8,,8,,8,,8,,0
mechdef_snake_SNK-1V,0,,0,,0,3053-01-01T00:00:00Z,43,,52
mechdef_whitworth_WTH-1,13,,13,,13,,0,,0
mechdef_trebuchet_TBT-5S,5,,4,,5,,4,,0
mechdef_hoplite_HOP-4C,3,,2,,1,,0,,0
mechdef_wyvern_WVE-6N,8,,8,,8,,12,,4
mechdef_vindicator_VND-1X,5,,4,,0,,0,,0
mechdef_scorpion_SCP-1N,11,,0,,0,,0,,0
mechdef_vindicator_VND-1R,226,,230,,230,,140,,121
mechdef_phoenixhawk_PXH-1,149,,148,,152,,140,,78
mechdef_hunchback_HBK-4G,45,,45,,32,,30,,17
mechdef_hunchback_HBK-4SP,0,,4,,8,,8,,4
mechdef_shadowhawk_SHD-2H,72,,72,,74,,30,,40
mechdef_hunchback_HBK-4H,5,,4,,5,,4,,0
mechdef_clint_CLNT-2-3U,0,,0,,0,3050-01-01T00:00:00Z,21,,27
mechdef_hunchback_HBK-4N,5,,4,,5,,4,,0
mechdef_wolverine_WVR-6R,72,,72,,74,,21,,4
mechdef_vindicator_VND-3L,0,,0,,0,3051-01-01T00:00:00Z,85,,98
mechdef_hunchback_HBK-4P,5,,4,,5,,4,,3
mechdef_crab_CRB-20,8,,8,,8,,8,,5
mechdef_hunchback_HBK-4J,5,,4,,5,,4,,0
mechdef_dervish_DV-6M,23,,22,,23,,21,,12
mechdef_trebuchet_TBT-5N,32,,31,,32,,30,,15
mechdef_blackjack_BJ2-O,0,,0,,0,,0,3057-01-01T00:00:00Z,38
mechdef_chameleon_CLN-7W,0,,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_blackjack_BJ2-OE,0,,0,,0,,0,3059-01-01T00:00:00Z,6
mechdef_griffin_GRF-1N,112,,109,,106,,21,,0
mechdef_gladiator_GLD-3R,5,,4,,5,,0,,0
mechdef_wraith_TR1,0,,0,,0,3055-01-01T00:00:00Z,21,,27
mechdef_gladiator_GLD-4R,5,,4,,5,,0,,0
mechdef_phoenixhawk_PXH-3M,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_cronus_CNS-3M,0,3031-01-01T00:00:00Z,10,,16,,12,,8
mechdef_trebuchet_TBT-7M,0,,0,,0,3050-01-01T00:00:00Z,43,,34
mechdef_shadowhawk_SHD-5M,0,,0,,0,3050-01-01T00:00:00Z,43,,34
mechdef_menshen_MS1-OC,0,,0,,0,,0,3060-01-01T00:00:00Z,14
mechdef_menshen_MS1-OB,0,,0,,0,,0,3060-01-01T00:00:00Z,14
mechdef_vindicator_VND-5L,0,,0,,0,,0,3060-01-01T00:00:00Z,32
mechdef_wraith_TR2,0,,0,,0,,0,3057-01-01T00:00:00Z,21
mechdef_griffin_GRF-3M,0,,0,,0,3050-01-01T00:00:00Z,30,,34
mechdef_chameleon_CLN-7Z,0,,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_menshen_MS1-OA,0,,0,,0,,0,3060-01-01T00:00:00Z,14
mechdef_huronwarrior_HUR-WO-R4L,0,,0,,0,3055-01-01T00:00:00Z,10,,34
mechdef_menshen_MS1-O,0,,0,,0,,0,3060-01-01T00:00:00Z,12
Heavies,,,,,,,,,
mechdef_jagermech_JM6-S,40,,37,,34,,18,,0
mechdef_rifleman_RFL-3N,66,,62,,24,,0,,0
mechdef_helepolis_HEP-1H,1,,1,,0,,0,,0
mechdef_champion_CHP-2N,20,,60,,34,,36,,0
mechdef_quickdraw_QKD-4G,11,,10,,5,,6,,0
mechdef_quickdraw_QKD-5A,4,,4,,5,,6,,0
mechdef_rifleman_RFL-5M,0,,0,,0,3050-01-01T00:00:00Z,50,,50
mechdef_ostroc_OSR-2C,28,,27,,9,,6,,0
mechdef_ostroc_OSR-2L,4,,4,,5,,3,,0
mechdef_quickdraw_QKD-5M,0,,0,,0,3050-01-01T00:00:00Z,33,,36
mechdef_quickdraw_QKD-4H,4,,4,,5,,3,,0
mechdef_ostsol_OTL-4D,64,,60,,34,,16,,0
mechdef_catapult_CPLT-A1,4,,4,,5,,3,,0
mechdef_ostroc_OSR-3C,4,,4,,5,,3,,0
mechdef_crusader_CRD-3L,133,,124,,240,,108,,46
mechdef_orion_ON1-V,4,,4,,5,,3,,0
mechdef_warhammer_WHM-6R,64,,60,,34,,23,,16
mechdef_crusader_CRD-4D,0,,0,,0,3050-01-01T00:00:00Z,6,,8
mechdef_warhammer_WHM-6L,17,,16,,11,,8,,7
mechdef_warhammer_WHM-6L-DC,3,,3,,2,,1,,1
mechdef_cataphract_CTF-1X,11,,60,,158,,52,,12
mechdef_crusader_CRD-3R,28,,26,,24,,16,,0
mechdef_orion_ON1-VA,4,,4,,5,,3,,0
mechdef_thunderbolt_TDR-5S,133,,60,,48,,33,,24
mechdef_archer_ARC-2W,3,,2,,1,,0,,0
mechdef_bombardier_BMB-10D,3,,3,,0,,0,,0
mechdef_cataphract_CTF-2X,0,3027-01-01T00:00:00Z,26,,77,,33,,23
mechdef_cataphract_CTF-0X,3,,3,,3,,3,,3
mechdef_catapult_CPLT-C4,4,,4,,5,,0,,0
mechdef_grasshopper_GHR-5J,0,,0,,0,3050-01-01T00:00:00Z,6,,8
mechdef_marauder_MAD-3R,20,,19,,9,,9,,0
mechdef_catapult_CPLT-C3,0,,0,3044-01-01T00:00:00Z,13,,33,,36
mechdef_marauder_MAD-3L,11,,10,,9,,9,,9
mechdef_guillotine_GLT-4P,4,,4,,0,,0,,0
mechdef_ostroc_OSR-2D,0,,0,,0,3050-01-01T00:00:00Z,3,,4
mechdef_catapult_CPLT-C1,40,,37,,13,,3,,3
mechdef_guillotine_GLT-4L,20,,19,,9,,6,,0
mechdef_crusader_CRD-5M,0,,0,,0,3050-01-01T00:00:00Z,52,,60
mechdef_orion_ON1-M,0,,0,,0,3050-01-01T00:00:00Z,23,,32
mechdef_grasshopper_GHR-5H,28,,26,,13,,6,,0
mechdef_orion_ON1-K,28,,26,,24,,16,,0
mechdef_anvil_ANV-3M,0,,0,,0,3055-01-01T00:00:00Z,16,,32
mechdef_catapult_CPLT-C4C,0,,0,,0,3055-01-01T00:00:00Z,9,,23
mechdef_stalker_STK-4P,7,,7,,16,,6,,0
mechdef_thunder_THR-1L,0,,0,,0,3055-01-01T00:00:00Z,52,,84
mechdef_marauder_MAD-5M,0,,0,,0,3051-01-01T00:00:00Z,16,,23
mechdef_guillotine_GLT-5M,0,,0,,0,3050-01-01T00:00:00Z,23,,32
mechdef_orion_ON1-MB,0,,0,,0,,0,3058-01-01T00:00:00Z,12
mechdef_archer_ARC-2R,114,,110,,66,,22,,22
mechdef_thunderbolt_TDR-7M,0,,0,,0,3050-01-01T00:00:00Z,52,,64
mechdef_grasshopper_GHR-5N,0,,0,3040-01-01T00:00:00Z,18,,6,,2
mechdef_cataphract_CTF-3L,0,,0,,0,3050-01-01T00:00:00Z,162,,194
mechdef_thunderbolt_TDR-8M,0,,0,,0,,0,3058-01-01T00:00:00Z,9
mechdef_gallowglas_GAL-1GLS,0,,0,,0,,0,,18
mechdef_archer_ARC-4M,0,,0,,0,,0,,36
mechdef_tits'ang_TSG-9H,0,,0,,0,,0,3059-01-01T00:00:00Z,20
Assaults,,,,,,,,,
mechdef_charger_CGR-1L,18,,19,,18,,0,,0
mechdef_victor_VTR-9A,10,,10,,10,,44,,22
mechdef_victor_VTR-9A1,10,,10,,10,,44,,22
mechdef_cyclops_CP-10-Z,35,,36,,35,,48,,42
mechdef_cyclops_CP-10-Z-DC,2,,2,,2,,2,,2
mechdef_longbow_LGB-0W,23,,23,,23,,20,,13
mechdef_victor_VTR-9B,267,,271,,264,,218,,164
mechdef_longbow_LGB-0W2,8,,8,,7,,7,,4
mechdef_banshee_BNC-3E,43,,43,,42,,0,,0
mechdef_annihilator_ANH-1A,2,,1,,1,,0,,0
mechdef_goliath_GOL-1H,0,,0,3049-01-01T00:00:00Z,9,,8,,6
mechdef_charger_CGR-1A5,5,,5,,5,,30,,30
mechdef_awesome_AWS-8R,5,,5,,5,,4,,0
mechdef_striker_STC-2C,54,,54,,53,,12,,0
mechdef_awesome_AWS-8V,5,,5,,5,,4,,0
mechdef_battlemaster_BLR-1G,54,,38,,53,,44,,30
mechdef_goliath_GOL-3M,0,,0,3049-01-01T00:00:00Z,9,,3,,6
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,5,,4,,4
mechdef_stalker_STK-4N,5,,5,,5,,4,,7
mechdef_stalker_STK-3F,86,,86,,85,,22,,8
mechdef_cyclops_CP-10-Q,10,,10,,10,,8,,10
mechdef_linesman_LMN-1PT,3,,3,,0,,0,,0
mechdef_awesome_AWS-8T,5,,5,,5,,4,,4
mechdef_awesome_AWS-8Q,86,,86,,85,,70,,20
mechdef_longbow_LGB-7Q,15,,15,,15,,13,,8
mechdef_stalker_STK-3H,5,,5,,5,,4,,0
mechdef_goliath_GOL-3M2,0,,0,,0,3052-01-01T00:00:00Z,3,,1
mechdef_striker_STC-2D,0,,0,,0,3056-01-01T00:00:00Z,44,,100
mechdef_longbow_LGB-8C,23,,23,,23,,20,,13
mechdef_stalker_STK-5M,0,,0,,0,3050-01-01T00:00:00Z,70,,84
mechdef_battlemaster_BLR-3M,0,,0,,0,3050-01-01T00:00:00Z,30,,38
mechdef_atlas_AS7-A,10,,10,,10,,30,,30
mechdef_highlander_HGN-733,54,,54,,58,,70,,46
mechdef_kingcrab_KGC-0000,20,,20,,20,,22,,22
mechdef_cyclops_CP-10-HQ,10,,10,,10,,12,,12
mechdef_awesome_AWS-9M,0,,0,,0,3049-01-01T00:00:00Z,70,,84
mechdef_longbow_LGB-7V,0,,0,,0,3056-01-01T00:00:00Z,8,,22
mechdef_shogun_SHG-2E,2,,1,,1,,0,,0
mechdef_highlander_HGN-733C,20,,20,,20,,8,,7
mechdef_highlander_HGN-733P,20,,20,,20,,8,,7
mechdef_awesome_AWS-9Q,0,,0,,0,,0,3057-01-01T00:00:00Z,40
mechdef_atlas_AS7-D,30,,30,,20,,14,,14
mechdef_cerberus_MR-V2,0,,0,,0,,0,,32
mechdef_marauderII_MAD-4A,2,,1,,1,,0,,0
mechdef_yuhuang_Y-H9G,0,,0,,0,,0,3060-01-01T00:00:00Z,14
mechdef_sirocco_SRC-3C,0,,0,,0,,0,3060-01-01T00:00:00Z,2
